UrlID,Url,Title,Matched segm,Matched Option,All options,Found,Attriubte
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Caster Fork', 'Standard', 'Frog Legs 0 weight to 100 lbs', 'Frog Legs 101 lbs weight to 190 lbs', 'Frog Legs 191 lbs weight to 265 lbs']",FALSE,Caster Fork
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Footrest', 'Aluminum Tubular', 'Aluminum Tubular w / Snap on Cover', 'Aluminum Platform (Ang. Adj.)']",FALSE,Footrest
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Adaptive Platform Spacer', 'None', 'Adaptive Platform 2 Spacer', 'Adaptive Platform 4 Spacer', 'Adaptive Platform 6 Spacer']",FALSE,Adaptive Platform Spacer
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Leg Strap', 'Extra Leg Strap', 'Positioning Plates for Platform Footrest', 'Gel Cover Hanger /Frame']",FALSE,Footrest
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Rear Seat Height', '14.0', '14.5', '15.0', '15.5', '16.0', '16.5', '17.0', '17.5', '18.0', '18.5', '19.0', '19.5', '20.0']",FALSE,Rear Seat Height
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Rear Wheel Size', '2 Mag Wheel', '24 Mag Wheel', '22 Lite Spoke Wheel', '24 Lite Spoke Wheel', '25 Lite Spoke Wheel', '26 Lite Spoke Wheel', '22 Ultra Lightweight Spoke Wheel 2.0', '24 Ultra Lightweight Spoke Wheel 2.0', '25 Ultra Lightweight Spoke Wheel 2.0', '22 Spinergy SPOX Black', '24 Spinergy SPOX Black', '25 Spinergy SPOX Black', '26 Spinergy SPOX Black', '22 Spinergy LX Black', '24 Spinergy LX Black', '25 Spinergy LX Black', '26 Spinergy LX Black']",FALSE,Size
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Rear Wheel Tire', 'Pneumatic', 'Pneumatic w / Airless Insert', 'Full Poly', 'High-Pressure Clincher', 'Knobby V- Trak', 'Schwalbe Marathon Plus Evolution', 'Kik® Mako Black']",FALSE,Rear Wheel Tire
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Handrim', 'Aluminum Anodized', 'Plastic', 'Natural Fit - Standard Grip', 'Natural Fit - Super Grip', 'Natural Fit LT - Standard Grip', 'Natural Fit LT - Super Grip']",FALSE,Handrim
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Center of Gravity Preset', '1.0', '1.5', '2.0', '2.5', '3.0']",FALSE,Center of Gravity Preset
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Camber', '0°', '3°']",FALSE,Camber
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Axle', 'Quick Release Steel', 'Quad Quick Release']",FALSE,Axle
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Axle Plates', 'Standard Short (COG 1 to 3)', 'Standard Long (COG 1 - 3)']",FALSE,Axle Plates
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Wheel Lock', 'High Mount Push', 'High Mount Pull', 'Ergo Scissor', 'Compact', 'Omit Wheel Lock', 'Do Not Mount']",FALSE,Wheel Lock
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Armrest', 'Padded Swing-Away - Standard', 'Single Post Ht. Adjust. Std (8.5-13.5)', 'Single Post Ht. Adjust. Low (7-11)']",FALSE,Armrest
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Armpad - For Height Adjustable Onlly', 'None', 'Desk Length - Classic (10)', 'Full Length - Classic (14)']",FALSE,Armpad - For Height Adjustable Onlly
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Back Type', 'Folding Lock Down Angle Adj', 'Non-Folding Backrest']",FALSE,Back Type
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Push Handles', 'Omit Push Handles', 'Integral Push Handles', 'Fold-Down Push Handles']",FALSE,Push Handles
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Height Adjustable Backrest', '10 - 14 Back Height', '12 - 16 Back Height', '14 - 18 Back Height', '16 - 20 Back Height']",FALSE,Height Adjustable Backrest
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Back Upholstery', 'Standard Upholstery', 'Backrest Tension Adj Ballistic Nylon', 'Backrest Tension Adj 3DX Vented', 'Omit Upholstery']",FALSE,Back Upholstery
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Military Service Patches', 'None', 'US Marines Patch', 'US Army Patch', 'US Navy Patch', 'US Air Force Patch', 'US Coast Guard', 'Purple Heart', 'Purple Heart with Marines Patch', 'Purple Heart with Army Patch', 'Purple Heart with Navy Patch', 'Purple Heart with Air Force Patch', 'Purple Heart with Coast Guard']",FALSE,Military Service Patches
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Seat Sling', 'Standard Seat Sling', 'Omit Seat Sling']",FALSE,Seat Sling
9104263,http://www.indemedical.com/Top-End-Crossfire-T6-Wheelchair_p_2095.html,Top End Crossfire T6 (CRF),N/A,N/A,N/A,No action link documented,N/A
